team,pts,loc,week,opp,opts,win,lose
atl,24,home,1,car,10,1,0
atl,25,home,2,gb,24,1,0
atl,6,away,3,det,20,0,1
atl,7,away,4,jax,23,0,1
atl,21,home,5,hou,19,1,0
atl,16,home,6,was,24,0,1
atl,16,away,7,tb,13,1,0
atl,23,away,8,ten,28,0,1
atl,28,home,9,min,31,0,1
atl,23,away,10,az,25,0,1
atl,24,home,12,no,15,1,0
atl,13,away,13,nyj,8,1,0
atl,25,home,14,tb,29,0,1
atl,7,away,15,car,9,0,1
atl,29,home,16,ind,10,1,0
atl,17,away,17,chi,37,0,1
atl,17,away,18,no,48,0,1
az,16,away,1,was,20,0,1
az,28,home,2,nyg,31,0,1
az,28,home,3,dal,16,1,0
az,16,away,4,sf,35,0,1
az,20,home,5,cin,34,0,1
az,9,away,6,lar,26,0,1
az,10,away,7,sea,20,0,1
az,24,home,8,bal,31,0,1
az,0,away,9,cle,27,0,1
az,25,home,10,atl,23,1,0
az,16,away,11,hou,21,0,1
az,14,home,12,lar,37,0,1
az,24,away,13,pit,10,1,0
az,29,home,15,sf,45,0,1
az,16,away,16,chi,27,0,1
az,35,away,17,phi,31,1,0
az,20,home,18,sea,21,0,1
bal,25,home,1,hou,9,1,0
bal,27,away,2,cin,24,1,0
bal,19,home,3,ind,22,0,1
bal,28,away,4,cle,3,1,0
bal,10,away,5,pit,17,0,1
bal,24,away,6,ten,16,1,0
bal,38,home,7,det,6,1,0
bal,31,away,8,az,24,1,0
bal,37,home,9,sea,3,1,0
bal,31,home,10,cle,33,0,1
bal,34,home,11,cin,20,1,0
bal,20,away,12,lac,10,1,0
bal,37,home,14,lar,31,1,0
bal,23,away,15,jax,7,1,0
bal,33,away,16,sf,19,1,0
bal,56,home,17,mia,19,1,0
bal,10,home,18,pit,17,0,1
buf,16,away,1,nyj,22,0,1
buf,38,home,2,lv,10,1,0
buf,37,away,3,was,3,1,0
buf,48,home,4,mia,20,1,0
buf,20,away,5,jax,25,0,1
buf,14,home,6,nyg,9,1,0
buf,25,away,7,ne,29,0,1
buf,24,home,8,tb,18,1,0
buf,18,away,9,cin,24,0,1
buf,22,home,10,den,24,0,1
buf,32,home,11,nyj,6,1,0
